iter	RMSE
0	0.6222040593
1	0.6018858331
2	0.5837643205
3	0.5677190461
4	0.5518110463
5	0.5377717219
6	0.5239631457
7	0.5112175191
8	0.4994728799
9	0.4892804482
10	0.4789473765
11	0.4696585203
12	0.4609998704
13	0.4529852271
14	0.4452076351
15	0.4379719009
16	0.4309394027
17	0.4251973896
18	0.4199140813
19	0.4148382762
20	0.4095324019
21	0.4048519052
22	0.4002516745
23	0.3961577738
24	0.3920500786
25	0.3887653479
26	0.3852611603
27	0.3824899161
28	0.3797145167
29	0.3769468672
30	0.3739753911331	0.3713533614
32	0.3693124293333	0.3670688215334	0.364926107
35	0.36322406
36	0.3612935552
337	0.3553259107338	0.353610744839	0.356487814
40	0.3548190622
41	0.3532813341
42	0.3516960595
43	0.3501751376
44	0.3489884561
45	0.3478647668
46	0.346455193
47	0.3453615272
48	0.3443656492
49	049	0.340637450	050	0.339315151	051	0.338373552	052	0.337223553	053	0.336358554	054	0.33518755	0.55	0.33426656	0.56	0.33360357	0.57	0.3327258	0.3347857729
59	0.3339784109
60	0.333313402
61	0.3325846678
62	0.3318358164
63	0.3313089344
64	0.3307185315
65	0.365	0.3275966	0.3294425481
67	0.3287556253
68	0.3283565973
69	0.3276531751
70	0.3269837016
71	0.326600462
72	0.3262668164
73	0.3256180387
74	0.3252182257
75	0.3248343837
76	0.3243185188
77	0.3277	0.321678	0.3278	0.321179	0.3229864262
80	0.380	0.3204581	0.3220417832
82	0.3215839281
83	0.3210611633
84	0.3207232538
85	0.385	0.3185386	0.3197642863
87	0.87	0.31790888	0.3189801672
89	0.89	0.31714190	0.90	0.31678591	0.91	0.31644392	0.92	0.31602993	0.93	0.31578494	0.94	0.31560695	0.3168792337
96	0.96	0.31500497	0.97	0.31473298	0.3155859606
99	0.99	0.31409100	0.100	0.31363101	0.101	0.31349102	0.102	0.31322103	0.3143572008
104	0.104	0.3126105	0.3138930086
106	0.3136265353
107	0.3133552872
108	0.3130358659
109	0.3109	0.3112110	0.3126598184
111	0.312434414
112	0.3122479607
113	0.3121281871
114	0.31114	0.310115	0.3116028944
116	0.3114483122
117	0.3112965973
118	0.3109963039
119	0.3106922972
120	0.3103938039
121	0.3102685835
122	0.3100429732
123	0.309949112
124	0.3097462755
125	0.3094960966
126	0.309168968
127	0.3089889123
128	0.3087293092
129	0.308573761
130	0.3084646543
131	0.3082439709
132	0.3079571408
133	0.3077962424
134	0.3077400804
135	0.3075345909
136	0.3073385857
137	0.30718635
138	0.3070307556
139	0.3068318018
140	0.306689114
141	0.3065899272
142	0.3063381437
143	0.3062229867
144	0.3061696509
145	0.3060101018
146	0.3058825087
147	0.3057476117
148	0.3055012411
149	0.30543466
150	0.3052296853
151	0.3049437156
152	0.3047189243
153	0.3046206292
154	0.304489193
155	0.3043199888
156	0.3041729732
157	0.3039000421
158	0.303832718
159	0.3035541695
160	0.3033329354
161	0.3031922207
162	0.3029785141
163	0.3028151009
164	0.302707927
165	0.3026248386
166	0.3024246195
167	0.3023124556
168	0.3021648537
169	0.3019355708
170	0.3017912325
171	0.3017811898
172	0.3016311011
173	0.3015171865
174	0.3012736516
175	0.3010786997
176	0.3008817674
177	0.3006425116
178	0.3005242443
179	0.3004735845
180	0.3002692423
181	0.3001295687
182	0.2999844197
183	0.2998476708
184	0.2997745825
185	0.2996912502
186	0.299544442
187	0.2994539926
188	0.2994243721
189	0.2992928749
190	0.299138984
191	0.2990078093
192	0.2988190072
193	0.2987226444
194	0.2986934062
195	0.2985424686
196	0.2983108485
