iter	Passed	Remaining
0	18	18720
1	21	10923
2	40	13346
3	46	11691
4	62	12450
5	82	13715
6	89	12671
7	103	12819
8	122	13455
9	137	13599
10	143	12933
11	148	12259
12	150	11400
13	165	11670
14	183	12031
15	188	11619
16	209	12109
17	214	11705
18	229	11856
19	238	11708
20	243	11341
21	257	11453
22	260	11076
23	272	11071
24	291	11357
25	301	11298
26	319	11530
27	343	11926
28	349	11699
29	365	11801
30	369	11543
31	382	11569
32	391	11485
33	414	11783
34	425	11727
35	429	11500
36	448	11672
37	473	11979
38	482	11896
39	492	11819
40	512	11997
41	536	12241
42	542	12067
43	561	12206
44	572	12139
45	584	12123
46	604	12261
47	629	12483
48	648	12595
49	653	12422
50	666	12394
51	687	12540
52	703	12570
53	728	12765
54	745	12807
55	748	12615
56	755	12495
57	759	12338
58	780	12443
59	789	12372
60	796	12267
61	801	12131
62	815	12133
63	834	12200
64	848	12209
65	850	12040
66	870	12125
67	876	12012
68	897	12110
69	916	12176
70	926	12123
71	941	12133
72	958	12176
73	984	12316
74	1006	12410
75	1032	12548
76	1040	12477
77	1067	12617
78	1076	12555
79	1096	12611
80	1117	12683
81	1138	12740
82	1156	12777
83	1178	12850
84	1196	12879
85	1201	12774
86	1206	12659
87	1225	12699
88	1242	12720
89	1261	12755
90	1267	12659
91	1292	12759
92	1303	12711
93	1329	12815
94	1345	12820
95	1358	12789
96	1379	12842
97	1389	12786
98	1408	12814
99	1424	12823
100	1437	12794
101	1439	12669
102	1440	12548
103	1453	12522
104	1458	12428
105	1472	12422
106	1475	12315
107	1482	12241
108	1496	12230
109	1510	12220
110	1526	12227
111	1540	12212
112	1555	12211
113	1560	12124
114	1579	12152
115	1581	12051
116	1600	12078
117	1622	12124
118	1623	12020
119	1631	11963
120	1634	11875
121	1651	11884
122	1655	11807
123	1662	11743
124	1670	11696
125	1688	11714
126	1695	11656
127	1716	11695
128	1725	11649
129	1729	11577
130	1744	11575
131	1750	11510
132	1765	11509
133	1782	11520
134	1800	11537
135	1806	11473
136	1814	11431
137	1832	11448
138	1840	11398
139	1855	11398
140	1873	11412
141	1887	11404
142	1903	11404
143	1908	11347
144	1927	11364
145	1942	11363
146	1960	11377
147	1979	11393
148	1996	11405
149	2005	11364
150	2022	11372
151	2025	11302
152	2039	11292
153	2044	11230
154	2058	11224
155	2075	11230
156	2092	11234
157	2114	11268
158	2118	11205
159	2133	11202
160	2136	11134
161	2157	11161
162	2163	11111
