iter	RMSE
0	4.82227854
1	4.740317382
2	4.659853142
3	4.580736735
4	4.503367523
5	4.426886958
6	4.35157241
7	4.277696162
8	4.205161101
9	4.134420216
10	4.064547209
11	3.995742276
12	3.928041987
13	3.861297424
14	3.796021363
15	3.731814112
16	3.668730979
17	3.607056938
18	3.546246509
19	3.486413389
20	3.428090399
21	3.370360109
22	3.3140984
23	3.25856419
24	3.203738343
25	3.149781227
26	3.097251339
27	3.045146284
28	2.994043411
29	2.943945743
30	2.89506679
31	2.846545536
32	2.798803663
33	2.752069093
34	2.706206881
35	2.660634554
36	2.616178432
37	2.572581983
38	2.529897004
39	2.487701769
40	2.44683075
41	2.406220986
42	2.366236334
43	2.327072701
44	2.289050712
45	2.251079123
46	2.213919398
47	2.177257851
48	2.141355849
49	2.106030058
50	2.071405755
51	2.037290188
52	2.003564275
53	1.970749641
54	1.938347469
55	1.906917577
56	1.876300038
57	1.845417742
58	1.815845804
59	1.786472808
60	1.757296054
61	1.728775213
62	1.700632213
63	1.67305443
64	1.645913045
65	1.61944245
66	1.593149948
67	1.567417751
68	1.542369306
69	1.517707046
70	1.493707637
71	1.469879179
72	1.44666077
73	1.423919614
74	1.401759473
75	1.379508628
76	1.357904796
77	1.336539188
78	1.315398124
79	1.294554933
80	1.274685
81	1.254734226
82	1.235194343
83	1.215892265
84	1.197010785
85	1.178348044
86	1.16056349
87	1.142989167
88	1.125417284
89	1.108597269
90	1.091908293
91	1.07549687
92	1.0595746
93	1.044017193
94	1.028607552
95	1.013140916
96	0.9984446495
97	0.983616389
98	0.9690334733
99	0.9552103141
100	0.9412905078
101	0.9278893547
102	0.9144701211
103	0.901458608
104	0.8886013435
105	0.8762527273
106	0.8639573109
107	0.8517252713
108	0.8399785093
109	0.8279640775
110	0.8165197305
111	0.805773476
112	0.7948626622
113	0.783912421
114	0.7731899311
115	0.7628697438
116	0.7528530113
117	0.7429072097
118	0.7333485924
119	0.7237068043
120	0.7146302598
121	0.705492092
122	0.6966562565
123	0.6882276287
124	0.6795332902
125	0.6709560079
126	0.6627096915
127	0.6546269263
128	0.6467416448
129	0.6390072434
130	0.6313634567
131	0.6242964285
132	0.6173088388
133	0.61014337
134	0.6033118102
135	0.5964676513
136	0.5900746461
137	0.5834370685
138	0.5772079695
139	0.5713623556
140	0.5655748982
141	0.5592728786
142	0.5536843703
143	0.5478549068
144	0.5422438636
145	0.5367644193
146	0.5316350011
147	0.5266803127
148	0.5213265299
149	0.5161475684
150	0.5109994178
151	0.5060470475
152	0.5013279841
153	0.4965071746
154	0.49193365
155	0.4875656695
156	0.4832754481
157	0.479121102
158	0.4751808059
159	0.4710348346
160	0.4668652081
161	0.46303134
162	0.4595727648
163	0.4561184097
164	0.4522272772
165	0.4487653898
166	0.4455934709
167	0.4422235053
168	0.4394668618
169	0.4360989641
170	0.4330146044
171	0.429921098
172	0.4267090488
173	0.4237223675
174	0.4210343415
175	0.4180698493
176	0.4158183381
177	0.4135316435
178	0.4108070773
179	0.4083359142
180	0.4060348328
181	0.4039905399
182	0.4017283697
183	0.3994175771
184	0.3975943491
185	0.3951603532
186	0.392677078
187	0.3903946789
188	0.3887670493
189	0.3867908212
190	0.3846772537
191	0.3825692575
192	0.3807250851
193	0.3788282834
194	0.3768902623
195	0.3752078387
196	0.3734265375
197	0.3722001223
198	0.3704446634
199	0.3687557223
200	0.3675816685
201	0.3658547773
202	0.3648429195
203	0.3632639461
204	0.3621681629
205	0.3607970215
206	0.359501493
207	0.3581711171
208	0.3567040725
209	0.3552496941
210	0.3538027115
211	0.3528605687
212	0.3516821394
213	0.3503422213
214	0.3492240764
215	0.3479837277
216	0.3469869742
217	0.345918369
218	0.3448776812
219	0.3436866908
220	0.3426952378
221	0.3420912972
222	0.3411604869
223	0.3402258099
224	0.3391706499
225	0.3386753741
226	0.3377366283
227	0.336918238
228	0.3364136321
229	0.3354632504
230	0.3346301825
231	0.3336286037
232	0.3331142315
233	0.3323106915
234	0.3315764544
235	0.3306444843
236	0.3298895507
237	0.3291991308
238	0.3286235742
239	0.3282668752
240	0.327431687
241	0.3266578546
242	0.3260261325
243	0.3257055196
244	0.3249330814
245	0.3242105921
246	0.3236570654
247	0.3229295672
248	0.3222938594
249	0.3216212568
250	0.3212153188
251	0.3205580222
252	0.3198966142
253	0.319517999
254	0.319141708
255	0.3187810069
256	0.3182652659
257	0.3177593593
258	0.3172646441
259	0.3168097575
260	0.3163801323
261	0.3158771341
262	0.315385165
263	0.315005005
264	0.3148672701
265	0.3144843524
266	0.3139684738
267	0.3135228873
268	0.3130567146
269	0.3126782702
270	0.3121304848
271	0.3115684123
272	0.311101427
273	0.3107774698
274	0.3104429135
275	0.3099943377
276	0.3096186555
277	0.3091789285
278	0.3087399537
279	0.3082745253
280	0.307843784
281	0.3075371669
282	0.3072107414
283	0.3069212721
284	0.3066033398
285	0.3063152475
286	0.3058913807
287	0.3054678889
288	0.3050530941
289	0.3047951783
290	0.3045049205
291	0.3042558396
292	0.3038739809
293	0.3035928228
294	0.3032888944
295	0.3029518879
296	0.302660117
297	0.3023927864
298	0.3020767081
299	0.3017604937
300	0.3014901545
301	0.3011444507
302	0.3008488581
303	0.3004890505
304	0.3001137661
305	0.2998512955
306	0.2995717262
307	0.2992208969
308	0.2987497138
309	0.2984866716
310	0.2982639194
311	0.2980919702
312	0.2979235168
313	0.2975906054
314	0.2973385167
315	0.2969859316
316	0.2968091967
317	0.2965703124
318	0.2963753668
319	0.2961592923
320	0.2959247304
321	0.2957191462
322	0.2955498287
323	0.2953175237
324	0.2950431961
325	0.2946821866
326	0.2944674117
327	0.2944506725
328	0.2944195609
329	0.2941414535
330	0.2938873779
331	0.2936855456
332	0.2934566854
333	0.2932861847
334	0.2930708573
335	0.2928429293
336	0.2925706367
337	0.2923530695
338	0.2921850733
339	0.2919438004
340	0.2917981427
341	0.2915906426
342	0.2913513948
343	0.2911742852
344	0.2909402736
345	0.2907019459
346	0.2905410211
347	0.290356836
348	0.2901601814
349	0.2898992228
350	0.2896493166
351	0.2894201237
352	0.289289617
353	0.2891069168
354	0.288939372
355	0.2886287006
356	0.2883935037
357	0.2881533307
358	0.2879290357
359	0.287760813
360	0.2876429139
361	0.2875022555
362	0.2873764099
363	0.2872168139
364	0.2869769346
365	0.2867481188
366	0.2865206897
367	0.2864057756
368	0.286267106
369	0.2860632743
370	0.2858810388
371	0.2857621084
372	0.2855395769
373	0.2854084226
374	0.2852537643
375	0.285117848
376	0.2849330481
377	0.2846983667
378	0.2845104051
379	0.2845038413
380	0.2843162846
381	0.2841423542
382	0.2840113617
383	0.2839954696
384	0.2838343941
385	0.2838278761
386	0.2836156056
387	0.2834771832
388	0.2832550689
389	0.2830373258
390	0.2829087057
391	0.2827517743
392	0.282604232
393	0.2825000848
394	0.2822755181
395	0.2821333545
396	0.2820314509
397	0.2818481245
398	0.2816390996
399	0.281520785
400	0.2813204792
401	0.2811441394
402	0.2809753517
403	0.2807703778
404	0.2805306535
405	0.2804003174
406	0.2802899021
407	0.2801582796
408	0.2800327284
409	0.2799363245
410	0.2798143578
411	0.2796884006
412	0.2795724038
413	0.2794249879
414	0.2794192373
415	0.2793092077
416	0.2791768916
417	0.2790390232
418	0.278908226
419	0.2788172819
420	0.2786293719
421	0.2784408197
422	0.2783222533
423	0.2781837835
424	0.2780520319
425	0.2778853319
426	0.2776682624
427	0.2775317661
428	0.2774070136
429	0.277250856
430	0.2771396376
431	0.2770037955
432	0.2768607691
433	0.2767436014
434	0.2766443345
435	0.2765519133
436	0.2764771147
437	0.276258979
438	0.2761368217
439	0.2760435591
440	0.2759203544
441	0.2757843491
442	0.2756525195
443	0.2755470008
444	0.2754026983
445	0.2752614093
446	0.2751069883
447	0.2750404293
448	0.2748899872
449	0.2747587946
450	0.2747228167
451	0.2745869591
452	0.2744800328
453	0.2743776369
454	0.2743250255
455	0.2741706971
456	0.2739946365
457	0.2739423649
458	0.2737978885
459	0.2736910298
460	0.2736049587
461	0.2734586413
462	0.2733005535
463	0.2731392931
