iter	RMSE
0	0.6284600068
1	0.6159476851
2	0.6039880746
3	0.5923490479
4	0.5809581164
5	0.5705082886
6	0.5603584621
7	0.5505688268
8	0.5415929016
9	0.5325996936
10	0.5237470787
11	0.5151162728
12	0.5065437514
13	0.4984574445
14	0.4908148813
15	0.4834238912
16	0.4763348908
17	0.4694584988
18	0.4628146434
19	0.4565064102
20	0.4501785129
21	0.4443322007
22	0.4389871486
23	0.4336307454
24	0.4286809638
25	0.4236382908
26	0.4201204088
27	0.4154132351
28	0.4112494834
29	0.4069449114
30	0.4028837529
31	0.3988186809
32	0.3952206946
33	0.3925398396
34	0.3890974576
35	0.3857140556
36	0.3827606983
37	0.3797877377
38	0.3766650755
39	0.3737596317
40	0.3707311762
41	0.3680144529
42	0.3654096169
43	0.3629820769
44	0.3605743567
45	0.3584413969
46	0.3563357991
47	0.3541189797
48	0.3521154253
49	0.3500616779
50	0.3481938159
51	0.3465590933
52	0.3447225103
53	0.3430526694
54	0.3415329938
55	0.3400323229
56	0.3386800041
57	0.3369051855
58	0.3355485105
59	0.3342091937
60	0.3326675703
61	0.3312406189
62	0.3302926107
63	0.3289961868
64	0.3278563113
65	0.3264743923
66	0.3253138601
67	0.3243225974
68	0.3233794942
69	0.322237278
70	0.3211789192
71	0.3200976556
72	0.3190094537
73	0.3181130707
74	0.3170648519
75	0.3162984811
76	0.3155031815
77	0.3144977652
78	0.3136901118
79	0.3129505456
80	0.3121709824
81	0.3114194316
82	0.3107348927
83	0.3099558218
84	0.309304111
85	0.308677807
86	0.308221873
87	0.3076411456
88	0.3069296195
89	0.3062163786
90	0.3056470292
91	0.3051561513
92	0.3046668005
93	0.3042470143
94	0.3037461437
95	0.3030510328
96	0.3023515873
97	0.3019094371
98	0.3014862109
99	0.3007706713
100	0.300222251
101	0.2996486183
102	0.2991448622
103	0.298627186
104	0.2981240191
105	0.2977062684
106	0.2971762556
107	0.2968440538
108	0.2964138427
109	0.2960511935
110	0.295600444
111	0.2951486921
112	0.2946841831
113	0.2943521798
114	0.2940307723
115	0.2937700534
116	0.2934009866
117	0.2931152055
118	0.2925212985
119	0.2920936318
120	0.2916768833
