iter	Passed	Remaining
0	21	21706
1	40	19998
2	58	19577
3	77	19273
4	97	19333
5	105	17503
6	125	17851
7	159	19779
8	179	19790
9	206	20474
10	305	27511
11	451	37173
12	581	44176
13	705	49684
14	817	53704
15	879	54064
16	946	54720
17	1008	55019
18	1095	56571
19	1185	58100
20	1242	57935
21	1348	59943
22	1400	59487
23	1440	58586
24	1476	57592
25	1531	57355
26	1540	55529
27	1583	54953
28	1651	55303
29	1720	55615
30	1772	55398
31	1818	55012
32	1866	54707
33	1881	53450
34	1935	53360
35	2002	53617
36	2043	53176
37	2100	53175
38	2144	52831
39	2192	52614
40	2242	52460
41	2288	52193
42	2332	51908
43	2365	51396
44	2395	50838
45	2479	51425
46	2519	51089
47	2557	50731
48	2609	50638
49	2663	50615
50	2694	50132
51	2722	49625
52	2749	49132
53	2783	48758
54	2810	48283
55	2840	47879
56	2874	47547
57	2911	47288
58	2938	46871
59	2966	46477
60	2993	46075
61	3018	45668
62	3046	45314
63	3071	44915
64	3094	44509
65	3117	44123
66	3143	43777
67	3165	43387
68	3185	42984
69	3207	42611
70	3229	42258
71	3252	41923
72	3276	41609
73	3300	41299
74	3337	41161
75	3362	40882
76	3384	40573
77	3407	40279
78	3429	39978
79	3453	39713
80	3475	39429
81	3496	39138
82	3516	38849
83	3535	38549
84	3555	38271
85	3577	38018
86	3597	37750
87	3615	37465
88	3632	37186
89	3651	36916
90	3669	36651
91	3686	36387
92	3705	36134
93	3724	35898
94	3743	35658
95	3762	35432
96	3781	35200
97	3798	34961
98	3815	34726
99	3832	34492
100	3850	34272
101	3870	34073
102	3889	33872
103	3907	33666
104	3923	33447
105	3942	33253
106	3961	33061
107	3981	32888
108	4001	32707
109	4019	32525
110	4038	32344
111	4057	32169
112	4078	32017
113	4099	31863
114	4118	31691
115	4136	31522
116	4153	31347
117	4171	31182
118	4190	31023
119	4208	30862
120	4226	30706
121	4244	30543
122	4260	30380
123	4276	30210
124	4291	30040
125	4309	29890
126	4326	29739
127	4346	29607
128	4363	29465
129	4384	29343
130	4406	29230
131	4427	29115
132	4451	29016
133	4475	28925
134	4494	28796
135	4513	28674
136	4530	28538
137	4548	28412
138	4566	28286
139	4583	28156
140	4600	28025
141	4617	27901
142	4633	27766
143	4647	27625
144	4660	27482
145	4675	27348
146	4689	27212
147	4705	27086
148	4718	26950
149	4733	26820
150	4747	26690
151	4760	26561
152	4774	26431
153	4790	26318
154	4804	26194
155	4808	26013
156	4823	25901
157	4840	25793
158	4856	25689
159	4874	25588
160	4889	25478
161	4904	25368
162	4918	25257
163	4932	25146
164	4947	25035
165	4961	24927
166	4975	24815
167	4990	24712
168	5002	24598
169	5016	24491
170	5030	24385
171	5043	24278
172	5058	24178
173	5071	24076
174	5085	23974
175	5100	23877
176	5112	23773
177	5126	23674
178	5140	23579
179	5155	23484
180	5168	23387
181	5182	23291
182	5195	23195
183	5208	23099
184	5222	23006
185	5236	22916
186	5251	22830
187	5267	22751
188	5284	22674
189	5300	22598
190	5316	22519
191	5335	22453
192	5353	22383
193	5368	22304
194	5387	22239
195	5403	22164
196	5416	22079
197	5430	21994
198	5443	21912
199	5458	21834
200	5460	21705
201	5473	21623
202	5487	21543
203	5492	21432
204	5506	21356
205	5520	21277
206	5535	21207
207	5549	21130
208	5563	21058
209	5577	20982
210	5591	20906
211	5605	20836
212	5607	20717
213	5620	20641
214	5634	20572
215	5649	20504
216	5663	20436
217	5678	20368
218	5692	20302
219	5706	20230
220	5720	20163
221	5735	20098
222	5749	20032
223	5762	19963
224	5777	19899
225	5778	19790
226	5792	19726
227	5807	19662
228	5820	19597
229	5834	19533
230	5849	19472
231	5863	19410
232	5877	19347
233	5892	19288
234	5906	19226
235	5919	19164
236	5932	19099
237	5947	19040
238	5948	18941
239	5961	18879
240	5975	18818
241	5989	18759
242	6003	18701
243	6016	18641
244	6032	18588
245	6046	18532
246	6061	18477
247	6075	18421
248	6089	18365
249	6103	18309
250	6117	18255
251	6131	18201
252	6147	18151
253	6162	18100
254	6176	18044
255	6190	17991
256	6205	17940
257	6219	17887
258	6232	17831
259	6247	17780
260	6261	17729
261	6275	17676
262	6288	17623
263	6302	17570
264	6316	17520
265	6329	17466
266	6344	17417
267	6357	17365
268	6373	17320
269	6375	17238
270	6391	17192
271	6409	17154
272	6427	17117
273	6445	17077
274	6462	17037
275	6480	16998
276	6483	16921
277	6498	16878
278	6515	16837
279	6531	16796
280	6548	16756
281	6566	16717
282	6582	16677
283	6599	16638
284	6614	16594
285	6631	16554
286	6647	16513
287	6664	16475
288	6684	16444
289	6702	16410
290	6722	16378
291	6738	16338
292	6756	16302
293	6761	16236
294	6777	16196
295	6794	16158
296	6811	16121
297	6827	16083
298	6844	16047
299	6861	16010
300	6878	15973
301	6896	15938
302	6912	15901
303	6930	15867
304	6945	15826
305	6961	15789
306	6976	15748
307	6992	15709
308	7008	15673
309	7025	15637
310	7041	15600
311	7058	15564
312	7075	15528
313	7094	15498
314	7109	15459
315	7126	15424
316	7143	15392
317	7161	15358
318	7177	15322
319	7191	15281
320	7206	15243
321	7221	15204
322	7235	15166
323	7252	15131
324	7266	15092
325	7282	15057
326	7301	15027
327	7321	14999
328	7339	14969
329	7359	14941
330	7376	14908
331	7391	14872
332	7407	14836
333	7421	14799
334	7437	14763
335	7452	14728
336	7468	14692
337	7483	14656
338	7498	14620
339	7514	14587
340	7530	14553
341	7548	14522
342	7564	14489
343	7578	14452
344	7595	14420
345	7610	14385
346	7626	14351
347	7641	14317
348	7657	14283
349	7674	14253
350	7693	14225
351	7710	14193
352	7727	14163
353	7742	14128
354	7759	14097
355	7775	14065
356	7789	14030
357	7804	13995
358	7820	13963
359	7834	13927
360	7848	13892
361	7863	13858
362	7877	13823
363	7893	13792
364	7907	13757
365	7923	13725
366	7937	13690
367	7952	13657
368	7966	13623
369	7981	13590
370	7995	13556
371	8009	13520
372	8022	13485
373	8036	13451
374	8051	13419
375	8066	13386
376	8081	13354
377	8094	13320
378	8108	13285
379	8123	13253
380	8136	13218
381	8151	13187
382	8166	13155
383	8179	13121
384	8194	13089
385	8209	13058
386	8223	13025
387	8237	12993
388	8252	12962
389	8266	12929
390	8280	12897
391	8295	12865
392	8308	12833
393	8323	12802
394	8337	12770
395	8352	12739
396	8367	12709
397	8380	12676
398	8395	12645
399	8409	12614
400	8423	12582
401	8438	12552
402	8453	12522
403	8467	12491
404	8481	12460
405	8495	12429
406	8509	12398
407	8523	12367
408	8538	12338
409	8553	12309
410	8569	12280
411	8581	12247
412	8596	12218
413	8610	12187
414	8624	12157
415	8638	12127
416	8653	12098
417	8668	12069
418	8683	12040
419	8697	12011
420	8711	11981
421	8726	11953
422	8741	11923
423	8755	11894
424	8770	11866
425	8784	11836
426	8798	11806
427	8811	11775
428	8825	11747
429	8840	11719
430	8855	11691
431	8870	11663
432	8884	11634
433	8897	11604
434	8911	11574
435	8925	11545
436	8939	11517
437	8954	11489
438	8967	11460
439	8982	11432
440	8998	11406
441	9012	11378
442	9026	11349
443	9039	11320
444	9055	11293
445	9069	11265
446	9083	11237
447	9097	11209
448	9111	11181
449	9126	11154
450	9139	11125
451	9153	11097
452	9168	11071
453	9183	11044
454	9198	11018
455	9214	10992
456	9229	10966
457	9244	10939
458	9257	10911
459	9272	10884
460	9285	10856
461	9300	10830
462	9315	10804
463	9329	10777
464	9343	10750
465	9357	10723
466	9372	10696
467	9387	10670
468	9401	10643
469	9415	10618
470	9428	10590
471	9445	10565
472	9459	10538
473	9474	10513
474	9489	10488
475	9504	10462
476	9518	10436
477	9533	10411
478	9548	10385
479	9562	10359
480	9578	10334
481	9591	10308
482	9605	10281
483	9619	10255
484	9633	10229
485	9649	10205
486	9664	10180
487	9680	10156
488	9696	10132
489	9711	10107
490	9726	10082
491	9741	10057
492	9757	10034
493	9771	10009
494	9786	9983
495	9800	9958
496	9815	9934
497	9830	9909
498	9844	9884
499	9858	9858
500	9873	9834
501	9888	9809
502	9902	9784
503	9917	9760
504	9931	9734
505	9945	9709
506	9960	9685
507	9973	9659
508	9989	9635
509	10003	9611
510	10017	9586
511	10032	9561
512	10046	9536
513	10061	9513
514	10075	9489
515	10090	9464
516	10104	9440
517	10119	9416
518	10134	9392
519	10149	9368
520	10162	9343
521	10177	9319
522	10192	9295
523	10206	9271
524	10220	9247
525	10236	9224
526	10250	9200
527	10265	9177
528	10280	9153
529	10294	9128
530	10308	9104
531	10322	9080
532	10337	9057
533	10352	9033
534	10365	9009
535	10380	8986
536	10395	8963
537	10409	8939
538	10424	8916
539	10437	8891
540	10453	8869
541	10468	8845
542	10482	8822
543	10496	8798
544	10511	8775
545	10526	8752
546	10540	8729
547	10555	8706
548	10570	8683
549	10585	8660
550	10600	8638
551	10614	8614
552	10628	8590
553	10642	8567
554	10657	8544
555	10672	8522
556	10688	8500
557	10702	8477
558	10716	8454
559	10730	8430
560	10744	8407
561	10758	8384
562	10771	8361
563	10785	8338
564	10801	8315
565	10814	8292
566	10829	8270
567	10844	8247
568	10858	8225
569	10873	8203
570	10888	8180
571	10902	8157
572	10916	8135
573	10930	8112
574	10945	8090
575	10960	8068
576	10975	8045
577	10988	8023
578	11003	8000
579	11018	7978
580	11032	7956
581	11046	7933
582	11061	7911
583	11076	7890
584	11091	7868
585	11106	7846
586	11122	7825
587	11139	7804
588	11155	7784
589	11172	7763
590	11189	7743
591	11206	7723
592	11222	7702
593	11239	7682
594	11254	7660
595	11271	7640
596	11287	7619
597	11303	7598
598	11318	7577
599	11334	7556
600	11350	7535
601	11364	7513
602	11379	7491
603	11395	7471
604	11411	7450
605	11426	7428
606	11441	7407
607	11457	7387
608	11472	7365
609	11488	7345
610	11503	7324
611	11519	7303
612	11534	7281
613	11550	7261
614	11565	7240
615	11581	7219
616	11597	7198
617	11613	7178
618	11629	7158
619	11645	7137
620	11661	7116
621	11676	7096
622	11691	7075
623	11707	7054
624	11725	7035
625	11740	7014
626	11756	6993
627	11772	6973
628	11789	6953
629	11804	6932
630	11819	6912
631	11834	6891
632	11850	6870
633	11866	6850
634	11882	6830
635	11898	6809
636	11913	6789
637	11929	6768
638	11943	6747
639	11959	6727
640	11975	6707
641	11991	6687
642	12007	6666
643	12023	6646
644	12038	6626
645	12056	6606
646	12072	6586
647	12088	6566
648	12104	6546
649	12119	6525
650	12135	6505
651	12151	6485
652	12166	6465
653	12182	6445
654	12198	6425
655	12215	6405
656	12231	6385
657	12248	6366
658	12264	6346
659	12279	6325
660	12296	6306
661	12310	6285
662	12327	6265
663	12343	6245
664	12360	6226
665	12376	6206
666	12392	6186
667	12407	6166
668	12423	6146
669	12439	6127
670	12456	6107
671	12472	6087
672	12488	6067
673	12503	6047
674	12519	6028
675	12536	6008
676	12551	5988
677	12567	5968
678	12583	5948
679	12600	5929
680	12616	5910
681	12633	5890
682	12651	5871
683	12669	5853
684	12686	5834
685	12704	5815
686	12721	5795
687	12739	5777
688	12756	5757
689	12772	5738
690	12789	5719
691	12804	5699
692	12819	5679
693	12834	5659
694	12850	5639
695	12866	5619
696	12882	5600
697	12897	5580
698	12912	5560
699	12928	5540
700	12944	5521
701	12960	5501
702	12976	5482
703	12991	5462
704	13006	5442
705	13022	5422
706	13036	5402
707	13051	5382
708	13067	5363
709	13083	5343
710	13097	5323
711	13114	5304
712	13130	5285
713	13144	5265
714	13161	5246
715	13176	5226
716	13192	5207
717	13208	5187
718	13223	5168
719	13240	5149
720	13256	5129
721	13271	5110
722	13287	5090
723	13302	5071
724	13318	5051
725	13333	5032
726	13348	5012
727	13364	4993
728	13380	4974
729	13394	4954
730	13410	4934
731	13425	4915
732	13440	4895
733	13455	4876
734	13470	4856
735	13486	4837
736	13502	4818
737	13518	4799
738	13533	4779
739	13548	4760
740	13564	4741
741	13579	4721
742	13593	4701
743	13609	4682
744	13625	4663
745	13640	4644
746	13655	4624
747	13671	4606
748	13687	4586
749	13701	4567
750	13717	4548
751	13732	4528
752	13747	4509
753	13763	4490
754	13779	4471
755	13794	4452
756	13809	4432
757	13824	4413
758	13838	4394
759	13855	4375
760	13871	4356
761	13886	4337
762	13901	4317
763	13916	4298
764	13931	4279
765	13946	4260
766	13963	4241
767	13978	4222
768	13992	4203
769	14008	4184
770	14024	4165
771	14039	4146
772	14054	4127
773	14069	4108
774	14084	4089
775	14100	4070
776	14114	4051
777	14130	4032
778	14145	4012
779	14161	3994
780	14177	3975
781	14193	3956
782	14209	3938
783	14224	3919
784	14239	3899
785	14255	3881
786	14271	3862
787	14286	3843
788	14301	3824
789	14316	3805
790	14332	3787
791	14347	3768
792	14364	3749
793	14379	3730
794	14395	3711
795	14410	3693
796	14426	3674
797	14442	3655
798	14459	3637
799	14475	3618
800	14491	3600
801	14506	3581
802	14521	3562
803	14537	3543
804	14552	3525
805	14569	3506
806	14584	3488
807	14601	3469
808	14616	3450
809	14633	3432
810	14648	3413
811	14665	3395
812	14679	3376
813	14694	3357
814	14709	3338
815	14725	3320
816	14741	3301
817	14757	3283
818	14773	3264
819	14788	3246
820	14803	3227
821	14819	3209
822	14834	3190
823	14850	3171
824	14865	3153
825	14882	3135
826	14898	3116
827	14913	3097
828	14928	3079
829	14943	3060
830	14959	3042
831	14975	3023
832	14989	3005
833	15004	2986
834	15020	2968
835	15036	2949
836	15052	2931
837	15069	2913
838	15084	2894
839	15099	2876
840	15115	2857
841	15130	2839
842	15145	2820
843	15161	2802
844	15177	2783
845	15193	2765
846	15207	2747
847	15222	2728
848	15237	2710
849	15252	2691
850	15268	2673
851	15284	2655
852	15299	2636
853	15315	2618
854	15330	2599
855	15344	2581
856	15360	2562
857	15374	2544
858	15389	2526
859	15406	2507
860	15422	2489
861	15438	2471
862	15452	2453
863	15466	2434
864	15481	2416
865	15496	2397
866	15509	2379
867	15523	2360
868	15538	2342
869	15553	2324
870	15569	2305
871	15584	2287
872	15597	2269
873	15612	2250
874	15626	2232
875	15641	2214
876	15655	2195
877	15671	2177
878	15686	2159
879	15699	2140
880	15714	2122
881	15728	2104
882	15742	2085
883	15756	2067
884	15771	2049
885	15786	2031
886	15800	2012
887	15816	1994
888	15832	1976
889	15846	1958
890	15862	1940
891	15879	1922
892	15898	1904
893	15916	1887
894	15934	1869
895	15950	1851
896	15966	1833
897	15982	1815
898	15999	1797
899	16014	1779
900	16029	1761
901	16044	1743
902	16058	1725
903	16074	1707
904	16090	1689
905	16104	1670
906	16119	1652
907	16134	1634
908	16149	1616
909	16166	1598
910	16180	1580
911	16196	1562
912	16212	1544
913	16229	1527
914	16246	1509
915	16261	1491
916	16275	1473
917	16290	1455
918	16306	1437
919	16321	1419
920	16336	1401
921	16350	1383
922	16366	1365
923	16381	1347
924	16397	1329
925	16411	1311
926	16426	1293
927	16442	1275
928	16457	1257
929	16472	1239
930	16488	1221
931	16504	1204
932	16518	1186
933	16532	1168
934	16549	1150
935	16566	1132
936	16585	1115
937	16604	1097
938	16621	1079
939	16638	1062
940	16656	1044
941	16673	1026
942	16691	1008
943	16709	991
944	16726	973
945	16743	955
946	16762	938
947	16780	920
948	16798	902
949	16816	885
950	16833	867
951	16850	849
952	16868	831
953	16885	814
954	16902	796
955	16920	778
956	16938	761
957	16955	743
958	16973	725
959	16991	707
960	17009	690
961	17025	672
962	17040	654
963	17058	637
964	17074	619
965	17092	601
966	17111	583
967	17128	566
968	17146	548
969	17165	530
970	17182	513
971	17200	495
972	17218	477
973	17234	460
974	17248	442
975	17264	424
976	17281	406
977	17297	389
978	17315	371
979	17331	353
980	17346	335
981	17362	318
982	17376	300
983	17392	282
984	17406	265
985	17421	247
986	17438	229
987	17455	212
988	17471	194
989	17490	176
990	17508	159
991	17525	141
992	17545	123
993	17563	106
994	17581	88
995	17599	70
996	17615	53
997	17633	35
998	17650	17
999	17669	0
