iter	RMSE
0	4.821284399
1	4.739889781
2	4.659291733
3	4.580384552
4	4.502984447
5	4.426736541
6	4.351729387
7	4.277855464
8	4.205206173
9	4.133893845
10	4.06382941
11	3.995023605
12	3.927945183
13	3.861517233
14	3.796151668
15	3.732525511
16	3.669434153
17	3.607622318
18	3.546430644
19	3.486772037
20	3.428015947
21	3.369927955
22	3.313292522
23	3.257582432
24	3.202636854
25	3.148491397
26	3.095515958
27	3.04342633
28	2.992232269
29	2.942112514
30	2.893287134
31	2.844771777
32	2.797263304
33	2.750201815
34	2.704306556
35	2.659297331
36	2.614786041
37	2.571177697
38	2.52862745
39	2.486580248
40	2.44513705
41	2.40444462
42	2.364960131
43	2.325805101
44	2.287516571
45	2.249581008
46	2.212108138
47	2.175551987
48	2.139445576
49	2.10460829
50	2.070031258
51	2.035970418
52	2.002455773
53	1.969528922
54	1.937002507
55	1.905816643
56	1.87496347
57	1.844840225
58	1.814904519
59	1.78530852
60	1.756384647
61	1.728061235
62	1.700356451
63	1.672648985
64	1.645492252
65	1.619533796
66	1.593453564
67	1.567849716
68	1.542857505
69	1.518278594
70	1.494156951
71	1.470321863
72	1.446797992
73	1.423822742
74	1.401100217
75	1.37875508
76	1.357134758
77	1.335831712
78	1.315214309
79	1.294316238
80	1.274280743
81	1.254229901
82	1.234701671
83	1.215485907
84	1.196706897
85	1.178591035
86	1.160895317
87	1.142888911
88	1.125492742
89	1.108436304
90	1.091921418
91	1.075279179
92	1.059316673
93	1.043593483
94	1.028332607
95	1.013156353
96	0.9979451294
97	0.9833038952
98	0.9687892788
99	0.9547140674
100	0.9406770824
101	0.9276041941
102	0.9145446277
103	0.9015310515
104	0.8889190072
105	0.8760690447
106	0.86400237
107	0.8520588049
108	0.8399288096
109	0.8280360607
110	0.8165840659
111	0.8053357768
112	0.7940874902
113	0.7834661885
114	0.7727192453
115	0.7627716232
116	0.7523517251
117	0.7422386025
118	0.7328408178
119	0.7233612732
120	0.7142194815
121	0.7048996871
122	0.6963443905
123	0.6876791798
124	0.6793828161
125	0.670894458
126	0.6625605376
127	0.6543101802
128	0.6465150789
129	0.6389633878
130	0.6312050051
131	0.6240916305
132	0.616932323
133	0.6096299273
134	0.6026537411
135	0.5959123353
136	0.5894679672
137	0.5827649083
138	0.5765202573
139	0.5701406712
