iter	Passed	Remaining
0	18	18102
1	20	10185
2	35	11794
3	46	11625
4	61	12162
5	62	10402
6	65	9355
7	80	9978
8	94	10416
9	108	10744
10	122	10972
11	136	11249
12	150	11459
13	169	11928
14	188	12374
15	193	11910
16	213	12359
17	216	11833
18	218	11283
19	227	11165
20	243	11362
21	245	10925
22	247	10519
23	264	10736
24	279	10905
25	283	10632
26	300	10836
27	314	10909
28	323	10825
29	334	10812
30	351	10991
31	359	10865
32	363	10653
33	376	10693
34	393	10851
35	413	11065
36	430	11212
37	452	11465
38	461	11379
39	478	11472
40	498	11661
41	507	11580
42	521	11606
43	529	11504
44	548	11645
45	565	11729
46	569	11544
47	586	11638
48	597	11603
49	612	11641
50	619	11518
51	635	11590
52	653	11685
53	669	11726
54	675	11598
55	693	11683
56	708	11727
57	723	11747
58	742	11844
59	750	11752
60	756	11652
61	759	11491
62	772	11495
63	776	11355
64	796	11450
65	811	11487
66	812	11318
67	828	11356
68	834	11255
69	851	11318
70	853	11162
71	867	11179
72	880	11179
73	896	11223
74	917	11311
75	936	11385
76	943	11309
77	947	11201
78	953	11113
79	955	10984
80	964	10945
81	968	10840
82	986	10899
83	995	10850
84	1003	10807
85	1019	10840
86	1040	10921
87	1047	10859
88	1063	10881
89	1079	10912
90	1100	10989
91	1114	10995
92	1130	11028
93	1151	11098
94	1153	10986
95	1156	10888
96	1169	10888
97	1172	10793
98	1186	10796
99	1203	10827
100	1208	10755
101	1222	10763
102	1237	10776
103	1242	10706
104	1255	10703
105	1269	10708
106	1280	10689
107	1295	10698
108	1309	10702
109	1311	10613
110	1318	10560
111	1320	10466
112	1335	10479
113	1351	10506
114	1356	10436
115	1371	10450
116	1383	10439
117	1410	10544
118	1434	10620
119	1458	10694
120	1478	10740
121	1495	10764
122	1513	10793
123	1516	10715
124	1520	10643
125	1527	10598
126	1545	10622
127	1562	10643
128	1569	10594
129	1572	10525
130	1585	10515
131	1605	10558
132	1626	10604
133	1651	10670
134	1677	10750
135	1699	10798
136	1725	10868
137	1752	10945
138	1756	10877
139	1778	10926
140	1783	10867
141	1791	10823
142	1807	10830
143	1827	10863
144	1834	10816
145	1851	10830
146	1867	10834
147	1885	10855
148	1902	10863
149	1917	10867
150	1919	10795
151	1937	10809
152	1960	10851
153	1968	10814
154	1977	10780
155	1996	10802
156	2018	10836
157	2020	10768
158	2039	10786
159	2054	10787
160	2069	10785
161	2071	10716
162	2087	10720
163	2103	10723
164	2118	10721
165	2134	10725
166	2151	10730
167	2164	10719
168	2180	10719
169	2195	10718
170	2211	10720
171	2227	10723
172	2235	10686
173	2236	10617
174	2249	10606
175	2264	10601
176	2278	10592
177	2292	10588
178	2308	10589
179	2325	10592
180	2340	10592
181	2357	10594
182	2372	10593
183	2386	10583
184	2390	10529
185	2403	10520
186	2405	10459
187	2427	10483
188	2445	10492
189	2462	10496
190	2479	10500
191	2495	10499
192	2511	10502
193	2527	10499
194	2543	10499
195	2558	10496
196	2574	10493
197	2592	10501
198	2609	10503
199	2625	10501
