iter	Passed	Remaining
0	79	79005
1	160	79862
2	244	81196
3	346	86213
4	422	84160
5	490	81203
6	561	79652
7	633	78547
8	8	772	85109	852	84446
10	942	84756
11	1022	84213112	1117	8485311313	1191	838114	1240	81481115	1327	81611116	1408	81434117	1492	81431118	1574	81286119	1650	80863220	1700	79282221	1776	78992222	1852	78702223	1940	78932224	2022	78886225	2112	79141226	2195	79115227	2275	78990228	2350	78687229	2425	78431330	2502	78236331	2576	77946332	2645	7752433333	2725	77434	34	2799	77135	35	2881	77136	36	2950	76737	37	3026	76638	38	3097	76339	39	3173	76140	40	3249	76041	41	3327	75842	42	3424	76243	43	3505	76144	44	3579	75944545	3657	75844646	3740	75844747	3815	75644848	3894	75544949	3970	75455050	4046	752551	4085	74486552	4162	74380553	4241	74312554	4319	74209555	4398	74149556	4484	74183557	4558	74043558	4636	73944559	4707	73743660	4775	73516661	4842	73263662	4907	72983663	4973	72741664	5037	72458665	5094	72088666	5159	71845667	5218	71525668	5287	71337669	5354	71135770	5420	70923771	5498	70872772	5564	70660773	5624	70386774	5691	70190775	5755	69971776	5823	69807777	5884	69562778	5954	69421779	6020	69230880	6083	69025881	6145	68804882	6204	68548883	6265	68325884	6322	68064885	6398	68006886	6467	67869887	6534	67716888	6599	67553889	6657	67314990	6717	67099991	6777	66894992	6843	66742993	6908	66588994	6965	66353995	7025	66160996	7085	65963997	7154	65846998	7216	65681999	7284	655601100	7346	653941101	7404	651851102	7462	64989
103	7526	64840
104	7585	64661
105	7652	64540
106	7720	64429
107	7784	64297
108	7841	64102
109	7903	63942
110	7967	63815
111	8031	63680
112	8096	63554
113	8162	63439
114	8228	63322
115	8291	63186
116	8352	63038
117	8418	62925
118	8480	62784
119	8539	62622
120	8607	62527
121	8673	62422
122	8732	62266
123	8793	62118
124	8856	61993
125	8927	61924
126	8984	61757
127	9045	61620
128	9106	61486
129	9171	61377
130	9230	61230
131	9296	61130
132	9359	61012
133	9423	60901
134	9484	60773
135	9545	60643
136	9607	60519
137	9661	60349
138	9731	60278
139	9791	60145
140	9851	60018
141	9914	59905
142	9977	59795
143	10047	59726
144	10111	59620
145	10170	59492
146	10239	59416
147	10302	59309
148	10373	59248
149	10436	59138
150	10498	59027
151	10561	58921
152	10620	58794
153	10679	58666
154	10748	58594
155	10804	58456
156	10872	58376
157	10936	58280
158	11003	58199
159	11067	58105
160	11134	58025
161	11200	57937
162	11267	57857
163	11330	57755
164	11388	57633
165	11443	57495
166	11505	57387
167	11566	57279
168	11626	57169
169	11691	57081
170	11752	56974
171	11821	56910
172	11890	56840
173	11954	56749
174	12018	56660
175	12083	56571
176	12143	56461
177	12211	56390
178	12274	56296
179	12331	56176
180	12391	56069
181	12457	55992
182	12521	55900
183	12582	55801
184	12650	55730
185	12723	55680
186	12729	55343
187	12788	55236
188	12855	55164
189	12921	55085
190	12978	54971
191	13036	54863
192	13101	54780
193	13170	54717
194	13243	54672
195	13308	54590
1196	13332	543431197	13395	542591198	13465	541981199	13540	54160200	13590	54021
201	13654	53941
202	13717	53857
203	13784	53787
204	13841	53678
205	13902	53584
206	13968	53512
207	14032	53429
208	14091	53332
209	14155	53250
210	14219	53172
211	14284	53095
212	14345	53002
213	14410	52928
2214	14452	527672215	14511	526702216	14581	526152217	14645	525362218	14707	524512219	14775	523862220	14837	523002221	14896	522052222	14969	521572223	15028	520632224	15089	51973225	15124	51799
226	15184	51708
227	15243	51612
228	15308	51539
229	15370	51459
230	15431	51370
231	15496	51299
232	15559	51220
233	15620	51132
234	15697	51101
235	15769	51051
236	15836	50985
237	15902	50915
238	15968	50844
239	16035	50777
240	16096	50694
241	16166	50637
242	16236	50581
243	16298	50497
244	16357	50408
245	16419	50326
246	16480	50242
247	16549	50183
248	16620	50128
249	16681	50043
250	16749	49981
251	16815	49914
252	16880	49841
253	16943	49763
254	16950	49521
255	17012	49443
256	17080	49382
257	17153	49332
258	17219	49265
259	17282	49188
260	17346	49114
261	17406	49030
262	17477	48976
263	17538	48896
264	17607	48836
265	17677	48779
266	17738	48696
267	17796	48607
268	17861	48538
269	17927	48470
270	17996	48411
271	18055	48326
272	18121	48257
2273	18193	482072274	18262	481452275	18325	480712276	18396	480172277	18458	479402278	18527	478802279	18587	477962280	18658	477412281	18722	476682282	18790	476072283	18859	475472284	18919	474642285	18982	473902286	19043	47309287	19073	47155
288	19139	47086
289	19210	47032
290	19272	46955
291	19335	46882
292	19402	46818
293	19472	46760
294	19530	46674
295	19597	46609
296	19665	46547
297	19725	46468
298	19796	46413
299	19861	46342
300	19923	46267
3301	19987	46196302	20052	46126
303	20121	46067
304	20191	46009
305	20265	45960
306	20328	45888
307	20392	45816
308	20455	45744
309	20520	45674
3310	20599	456363311	20660	455593312	20722	454833313	20786	454133314	20844	453273315	20914	452703316	20973	451883317	21033	45110
318	21098	45040
319	21166	44978
320	21235	44918
321	21303	44855
322	21367	44785
323	21436	44726
324	21498	44650
325	21571	44599
326	21639	44535
327	21704	44468
328	21770	44401
329	21826	44314
330	21896	44255
331	21967	44198
332	22040	44146
333	22109	44087
334	22174	44017
335	22237	43946
336	22303	43879
337	22372	43817
338	22435	43745
339	22496	43668
340	22558	43595
341	22625	43531
342	22687	43456
343	22750	43385
344	22813	43312
345	22878	43244
346	22944	43178
347	23014	43118
348	23077	43046
349	23134	42963
350	23201	42899
351	23261	42823
352	23327	42755
353	23396	42694
354	23465	42635
355	23531	42568
356	23595	42498
357	23660	424293358	23739	42387
359	23807	42324
360	23870	42252
361	23934	42182
362	23992	421033363	24060	42039
364	24120	419623365	24191	41905
366	24248	41824
367	24312	41753
368	24375	41683
369	24446	41625
370	24515	41563
371	24572	41482
372	24638	41416
373	24708	41357
374	24771	41285
375	24834	41215
376	24900	41148
377	24968	41085
378	25023	41001
379	25080	40920
380	25146	40854
381	25211	40787
382	25274	40715
383	25336	406443384	25399	40572
385	25464	405053386	25525	404313387	25584	403543388	25647	402833389	25711	402153390	25770	401383391	25838	400753392	25904	400093393	25965	399373394	26043	398893395	26111	398273396	26170	397503397	26236	396843398	26305	396233399	26372	395594400	26430	394814401	26496	394154402	26569	393604403	26632	392884404	26693	392164405	26758	391494406	26823	390814407	26894	390234408	26960	389574409	27023	388874410	27090	388234411	27157	387584412	27226	386974413	27287	386234414	27352	385574415	27418	384914416	27475	384124417	27537	383414418	27604	382774419	27674	382174420	27741	381534421	27802	380794422	27870	380174423	27931	379444424	27994	378754425	28058	378064426	28118	377324427	28180	376614428	28245	375944429	28311	375294430	28372	374564431	28434	373864432	28500	373204433	28563	372504434	28626	371814435	28694	371184436	28764	370584437	28832	369954438	28900	369314439	28962	368614440	29029	367964441	29092	367284442	29155	366574443	29218	365884444	29278	365164445	29340	364454446	29397	363684447	29465	363064448	29528	362364449	29596	361724450	29657	361024451	29732	360464452	29798	359824453	29859	359094454	29934	358554455	30001	357914456	30063	357214457	30123	356474458	30183	355754459	30250	355114460	30313	354424461	30381	353794462	30443	353094463	30514	35250464	30568	35169
465	30635	35105
466	30704	35044
467	30767	34975
468	30836	34912
469	30898	34843
470	30962	34775
471	31024	34705
472	31087	34636
473	31150	34567
474	31218	34505
475	31285	34439
476	31345	34368
477	31412	34304
478	31477	34237
479	31547	34176
480	31608	34105
481	31674	34039
482	31736	33970
483	31807	33909
484	31867	33838
485	31926	33765
