neighbourhood_cleansed,price,estimated_occupancy_l365d,estimated_revenue_l365d,availability_365,instant_bookable,is_long_term,is_activate,amenities_cnt,accommodates,bath_score_mul,beds,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,name_length_group,description_length_group,neighborhood_overview_exists,host_about_length_group,host_is_superhost,host_has_profile_pic,host_identity_verified,host_response_time_score,host_response_rate_score,host_acceptance_rate_score,host_location_ny,host_location_boolean,town_encoded,neighbourhood_group_cleansed_Bronx,neighbourhood_group_cleansed_Brooklyn,neighbourhood_group_cleansed_Manhattan,neighbourhood_group_cleansed_Queens,neighbourhood_group_cleansed_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,structure_encoded,borough
Prospect Heights,200.0,0,0.0,362,0,1,0,7,1,0.5,1,9,0,4.88,5.0,4.8,5.0,5.0,5.0,5.0,0,1,1,2,0,1,1,4.0,4,4,1,1,159,False,True,False,False,False,False,False,True,False,23,Brooklyn
East Harlem,82.0,0,0.0,204,0,1,1,32,2,1.0,1,102,0,4.77,4.82,4.76,4.88,4.9,4.38,4.71,1,1,1,0,0,1,1,4.0,4,4,1,1,62,False,False,True,False,False,False,False,True,False,8,Manhattan
Boerum Hill,765.0,0,0.0,326,0,0,1,68,2,2.5,5,43,0,4.7,4.83,4.52,4.88,4.88,4.86,4.62,0,1,1,2,0,1,1,3.0,4,2,1,1,18,False,True,False,False,False,False,False,True,False,14,Brooklyn
Harlem,139.0,255,35445.0,25,0,0,1,47,2,1.0,1,241,42,4.85,4.87,4.5,4.96,4.96,4.79,4.82,0,1,1,2,1,1,1,4.0,4,4,1,1,96,False,False,True,False,False,True,False,False,False,14,Manhattan
Williamsburg,130.0,154,20020.0,38,0,0,1,29,2,0.5,1,274,12,4.82,4.83,4.61,4.94,4.88,4.85,4.78,0,2,1,2,1,1,1,4.0,4,4,1,1,214,False,True,False,False,False,False,False,True,False,23,Brooklyn
Hell's Kitchen,139.0,0,0.0,365,0,1,0,14,2,1.0,1,44,0,4.86,4.93,4.83,4.98,5.0,4.98,4.86,0,0,0,1,0,1,1,4.0,4,4,0,1,97,False,False,True,False,False,False,False,True,False,23,Manhattan
Williamsburg,96.0,180,17280.0,173,0,1,1,26,3,1.0,1,194,3,4.58,4.59,4.85,4.85,4.8,4.69,4.58,0,1,0,2,1,1,1,4.0,4,4,1,1,214,False,True,False,False,False,True,False,False,False,23,Brooklyn
East Harlem,59.0,0,0.0,83,0,1,0,18,1,0.5,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,1,2,0,1,0,4.0,4,2,1,1,62,False,False,True,False,False,False,False,True,False,8,Manhattan
East Harlem,67.0,255,17085.0,264,0,1,1,25,1,0.5,2,251,5,4.88,4.82,4.95,4.96,4.94,4.85,4.83,0,1,1,2,0,1,1,4.0,4,4,1,1,62,False,False,True,False,False,False,False,True,False,23,Manhattan
Fort Greene,195.0,255,49725.0,190,1,0,1,50,2,1.0,2,398,36,4.89,4.91,4.9,4.97,4.93,4.95,4.82,1,2,1,2,1,1,1,4.0,4,4,1,1,81,False,True,False,False,False,False,False,True,False,12,Brooklyn
Williamsburg,290.0,60,17400.0,0,0,1,1,55,2,1.0,1,13,1,4.91,4.78,4.67,4.89,4.78,5.0,4.89,0,1,1,2,1,1,1,4.0,4,4,1,1,214,False,True,False,False,False,True,False,False,False,20,Brooklyn
Bedford-Stuyvesant,216.0,0,0.0,150,0,1,1,52,5,1.0,4,190,0,4.77,4.83,4.74,4.88,4.88,4.67,4.76,1,1,0,2,0,1,1,4.0,4,4,1,1,12,False,True,False,False,False,True,False,False,False,19,Brooklyn
Bedford-Stuyvesant,165.0,0,0.0,144,1,1,1,43,5,1.0,4,173,0,4.72,4.81,4.73,4.92,4.89,4.62,4.69,1,1,0,2,0,1,1,4.0,4,4,1,1,12,False,True,False,False,False,True,False,False,False,19,Brooklyn
Crown Heights,150.0,168,25200.0,48,0,0,1,25,2,1.0,1,161,12,4.87,4.87,4.77,4.87,4.97,4.59,4.73,1,2,1,2,1,1,1,3.0,4,4,1,1,52,False,True,False,False,False,True,False,False,False,23,Brooklyn
Clinton Hill,171.0,0,0.0,365,0,1,0,31,5,1.5,3,11,0,5.0,4.82,4.82,4.82,5.0,4.91,4.73,0,0,0,2,0,1,1,4.0,4,4,1,1,41,False,True,False,False,False,False,False,True,False,8,Brooklyn
Chelsea,150.0,0,0.0,176,0,1,0,24,2,1.0,1,18,0,4.81,4.78,4.44,4.94,5.0,4.67,4.83,0,2,1,1,0,1,1,3.0,4,1,1,1,33,False,False,True,False,False,True,False,False,False,23,Manhattan
Washington Heights,62.0,0,0.0,173,0,1,0,36,2,0.5,2,150,0,4.69,4.79,4.55,4.84,4.86,4.44,4.71,1,2,1,2,0,1,1,4.0,4,4,1,1,206,False,False,True,False,False,False,False,True,False,23,Manhattan
Gowanus,100.0,255,25500.0,89,0,1,1,43,3,1.0,2,124,5,4.94,4.97,4.91,4.96,4.95,4.81,4.89,1,1,0,1,1,1,1,3.0,4,3,0,1,87,False,True,False,False,False,True,False,False,False,8,Brooklyn
Lower East Side,563.0,60,33780.0,145,0,1,1,27,5,2.0,4,70,1,4.8,4.72,4.69,4.85,4.87,4.57,4.62,0,2,1,2,0,1,1,4.0,4,4,1,1,121,False,False,True,False,False,True,False,False,False,19,Manhattan
Carroll Gardens,185.0,0,0.0,364,0,1,1,23,2,1.0,1,220,0,4.66,4.78,4.81,4.71,4.73,4.58,4.64,1,0,1,2,0,1,1,1.0,2,1,1,1,30,False,True,False,False,False,False,False,True,False,28,Brooklyn
Midtown,165.0,0,0.0,365,0,1,0,20,2,1.0,1,4,0,5.0,5.0,5.0,4.75,5.0,5.0,5.0,1,1,0,1,0,1,1,3.0,4,3,0,1,129,False,False,True,False,False,True,False,False,False,23,Manhattan
