iter	Passed	Remaining
0	19	19332
1	33	16740
2	46	15471
3	64	16166
4	83	16569
5	100	1658566	113	1614877	129	1607788	145	160559	160	15938
10	176	15858
11	194	16029
12	218	16581
13	239	16866
14	259	17058
15	280	17278
16	303	17562
17	322	17574
18	343	17721
19	363	17805
20	388	18088
21	406	18074
22	431	18312
23	457	18591
24	478	18664
25	498	18673
26	517	18666
27	537	18645
28	555	18596
29	580	18770
30	600	18783
31	618	18723
32	644	18878
33	668	19000
34	688	18982
35	708	18963
36	726	18919
37	744	18849
38	762	18786
39	784	18831
40	809	18935
41	825	18832
42	843	18781
43	862	18741
44	884	18780
45	906	18794
46	923	18732
47	945	18743
48	964	18724
49	994	18887
50	1010	18806551	1025	18692552	1046	18701553	1066	18680554	1088	18700555	1113	18766556	1129	186875757	1154	18745558	1177	1878559	1196	18741660	1223	18836661	1246	18851662	1270	18902663	1292	18900664	1314	18912665	1332	18856666	1355	18874667	1371	18797668	1396	18848669	1413	18782770	1431	18731771	1448	18669772	1478	18771773	1496	18728774	1513	18667775	1530	18606776	1553	18622777	1575	18617778	1595	18599779	1615	18574880	1641	18624881	1660	18587882	1687	18645
83	1707	18618884	1725	18576885	1750	18607
86	1775	18628
87	1798	18642
88	1818	18617
89	1838	18587
90	1859	18575
91	1878	18538
92	1899	18527
93	1917	18486994	1935	18442995	1954	18406996	1974	18378997	1993	18347998	2013	18326
99	2036	18329
100	2054	18283
101	2072	182431102	2096	182571103	2116	18237
104	2139	182351105	2157	181921106	2177	181761107	2198	181541108	2215	181091109	2233	180711110	2254	180551111	2271	180091112	2296	180231113	2317	180111114	2333	179561115	2351	179201116	2369	178851117	2387	178481118	2407	178201119	2426	17795120	2447	17782
121	2465	17745
122	2487	17737
123	2509	17728
124	2528	17698
125	2545	17658
1126	2565	176381127	2584	176101128	2607	176061129	2628	17592130	2653	17600
131	2673	17581
1132	2695	17570133	2713	17537
134	2739	17552
135	2756	17510
136	2775	17480
137	2793	17447
138	2819	17464
139	2838	17438
140	2858	17416
141	2880	17406
142	2894	17349
143	2912	17311
144	2931	17287
1145	2949	172491146	2968	172241147	2991	172231148	3019	172481149	3041	172321150	3056	171831151	3075	171561152	3097	171461153	3122	171551154	3139	171131155	3160	170971156	3176	170541157	3198	170431158	3217	170201159	3235	169841160	3255	169671161	3279	169641162	3305	169731163	3327	169631164	3346	169361165	3371	169401166	3393	169241167	3409	168841168	3431	168731169	3449	16840170	3468	16816
1171	3490	168011172	3511	167871173	3534	167801174	3558	16777
175	3579	16757
176	3602	16749
177	3622	16730
178	3645	16721
179	3672	16728
180	3699	16738
181	3721	16724
182	3744	16717
183	3760	16677
184	3782	16662
185	3799	16627
186	3822	16617
187	3841	16593
188	3858	16557
189	3878	16534
190	3899	16516
191	3920	16499
192	3945	16495
193	3970	16494
194	3992	16480
195	4013	16464
196	4038	16462
197	4059	16442
198	4080	16426
199	4108	16433
200	4127	16408
201	4146	16378
202	4169	16371
203	4187	16339
204	4214	16342
205	4234	16320
206	4255	16302
207	4274	16277
208	4293	16250
209	4315	16235
210	4335	16212
211	4356	16194
212	4375	16167
213	4391	16129
214	4415	16123
215	4441	16121
216	4460	16096
217	4477	16061
218	4493	16024
219	4515	16008
220	4536	15989
221	4557	15971
222	4577	15949
223	4597	15926
224	4616	15902
225	4643	15902
226	4660	15870
227	4684	15862
228	4700	15825
229	4723	15813
230	4748	15807
231	4768	15786
232	4789	15764
233	4809	15744
234	4828	15717
235	4844	15681
236	4863	15659
237	4888	15651
238	4908	15629
239	4930	15611
240	4950	15591
241	4966	15556
242	4988	15539
243	5007	15516
244	5024	15484
245	5046	15467
246	5064	15438
247	5082	15411
248	5100	15382
249	5122	15367
250	5146	15356
251	5166	15334
252	5186	15312
253	5207	15295
254	5226	15269
255	5241	15232
256	5264	15219
257	5284	15198
258	5306	15181
259	5327	15163
260	5347	15141
261	5369	15124
262	5389	15101
263	5408	15079
264	5430	15062
265	5450	15039
266	5472	15023
267	5491	14998
268	5514	14986
269	5535	14965
270	5555	14943
271	5576	14924
272	5597	14905
273	5616	14881
274	5636	14859
275	5657	14840
276	5677	14819
277	5701	14806
278	5704	14742
279	5727	14726
280	5755	14726
281	5774	14702
282	5798	14691
283	5819	14671
284	5840	14652
285	5862	14635
286	5884	14618
287	5905	14600
288	5931	14591
289	5954	14579
2290	5976	145602291	5997	145432292	6027	145442293	6049	145272294	6067	144992295	6094	144952296	6116	144772297	6139	144632298	6159	144402299	6175	144103300	6200	143993301	6219	143753302	6245	143663303	6270	143563304	6286	143253305	6303	14296306	6321	14268
3307	6342	14250308	6362	14227
309	6386	14215
310	6404	14189
311	6426	14172
312	6453	14165
313	6477	14151
314	6504	14144
315	6526	14127
316	6551	14116
317	6571	14094
318	6593	14075
319	6614	14054
320	6637	14039
321	6664	14032
322	6686	14014
323	6705	13991
324	6729	13977
325	6753	13962
326	6777	13949
327	6792	13916
328	6808	13885
329	6823	13852
330	6840	13825
331	6857	13797
332	6871	13763
333	6886	13732
334	6902	13702
335	6923	13681
336	6942	13657
337	6958	13628
338	6973	13598
339	6992	13573
340	7006	13540
341	7025	13516
342	7038	13482
343	7054	13452
344	7069	13421
345	7085	13393
346	7103	13367
347	7117	13335
348	7134	13308
349	7149	13278
350	7165	13249
351	7179	13217
352	7195	13189
353	7213	13163
354	7232	13140
355	7251	13118
356	7270	13094
357	7289	13073
358	7308	13049
359	7324	13021
360	7341	12995
361	7358	12969
362	7374	12940
363	7388	12909
364	7406	12884
365	7424	12861
366	7441	12834
367	7462	12816
368	7479	12789
369	7494	12761
370	7513	12737
371	7528	12708
372	7543	12680
373	7559	12653
374	7577	12629
375	7593	12602
376	7611	12578
377	7626	12549
378	7645	12526
379	7664	12504
380	7679	12477
381	7697	12453
382	7714	12428
383	7733	12406
384	7747	12376
385	7763	12349
386	7779	12322
387	7797	12299
388	7815	12275
389	7831	12248
390	7845	12220
391	7864	12197
392	7880	12171
393	7898	12148
394	7914	12122
395	7931	12098
396	7948	12073
397	7967	12051
398	7984	12026
399	8000	12000
400	8013	11970
401	8030	11945
402	8045	11918
403	8063	11896
404	8085	11878
405	8102	11853
406	8121	11832
407	8136	11805
408	8153	11781
409	8169	11755
410	8186	11732
411	8202	11706
412	8218	11681
413	8233	11654
414	8250	11630
415	8265	11602
416	8283	11580
417	8300	11556
418	8318	11534
419	8335	11510
420	8352	11487
421	8367	11460
422	8387	11440
423	8403	11415
424	8419	11391
425	8434	11364
426	8451	11341
427	8494	11352
428	8519	11340
429	8544	11326
430	8567	11311
431	8594	11300
432	8612	11277
433	8633	11259
434	8654	11240
435	8673	11220
436	8714	11227
437	8749	11226
438	8768	11205
439	8788	11185
440	8813	11172
441	8859	11184
442	8878	11163
443	8903	11149
444	8923	11129
445	8970	11142
446	8996	11129
447	9022	11117
448	9045	11100
449	9067	11082
450	9094	11070
451	9116	11052
452	9137	11033
453	9157	11013
454	9174	10988
455	9189	10963
456	9203	10935
457	9221	10913
458	9236	10886
459	9249	10858
460	9267	10835
461	9288	10816
462	9307	10794
463	9312	10757
464	9327	10731
465	9342	10705
466	9356	10678
467	9369	10650
468	9382	10623
469	9397	10597
470	9410	10569
471	9426	10545
472	9441	10518
473	9455	10492
474	9470	10467
475	9485	10442
476	9498	10414
477	9513	10389
478	9528	10364
479	9547	10343
480	9566	10322
481	9581	10297
482	9595	10271
483	9610	10245
484	9623	10218
485	9639	10194
486	9654	10170
487	9673	10148
488	9688	10124
489	9703	10099
490	9718	10074
491	9735	10052
492	9751	10028
493	9768	10005
494	9786	9984
495	9805	9963
496	9820	9939
497	9835	9914
498	9852	9891
499	9867	9867
500	9883	9844
501	9897	9818
502	9911	9792
503	9924	9767
504	9938	9741
505	9957	9720
506	9973	9697
507	9988	9674
508	10004	9650
509	10018	9625
510	10036	9604
511	10051	9580
512	10066	9556
513	10080	9531
514	10094	9506
515	10109	9483
516	10122	9456
517	10139	9434
518	10155	9411
519	10170	9388
520	10187	9366
521	10203	9343
522	10217	9319
523	10232	9294
524	10245	9270
525	10260	9246
526	10277	9224
527	10294	9202
528	10310	9179
529	10325	9156
530	10342	9134
531	10355	9109
532	10371	9087
533	10387	9064
534	10401	9040
535	10414	9015
536	10430	8992
537	10445	8970
538	10469	8954
539	10488	8934
540	10505	8913
541	10519	8888
542	10535	8867
543	10551	8844
544	10567	8822
545	10586	8802
546	10601	8779
547	10616	8756
548	10631	8733
549	10648	8712
550	10664	8690
551	10682	8669
552	10697	8646
553	10712	8624
554	10728	8602
555	10743	8579
556	10760	8557
557	10776	8536
558	10792	8514
559	10808	8492
560	10824	8470
561	10841	8449
562	10859	8428
563	10877	8408
564	10889	8384
565	10904	8361
566	10920	8339
567	10935	8317
568	10951	8295
569	10966	8273
570	10997	8262
571	11014	8241
572	11029	8219
573	11042	8195
574	11058	8173
575	11073	8151
576	11089	8129
577	11105	8108
578	11117	8083
579	11133	8062
580	11151	8042
581	11170	8023
582	11191	8004
583	11255	8017
584	11276	7999
585	11290	7976
586	11307	7956
587	11325	7935
588	11342	7914
589	11361	7895
590	11377	7873
591	11394	7852
592	11411	7831
593	11426	7809
594	11439	7786
595	11451	7762
596	11469	7742
597	11484	7720
598	11499	7698
599	11514	7676
600	11529	7654
601	11545	7632
602	11560	7611
603	11578	7591
604	11592	7568
605	11608	7547
606	11622	7524
607	11636	7502
608	11649	7479
609	11663	7456
610	11679	7436
611	11692	7413
612	11706	7390
613	11722	7369
614	11738	7348
615	11754	7327
616	11769	7305
617	11783	7283
618	11799	7262
619	11815	7241
620	11830	7220
621	11847	7199
622	11861	7177
623	11875	7155
624	11891	7134
625	11905	7112
626	11921	7091
627	11936	7070
628	11952	7050
629	11969	7029
630	11986	7009
631	12001	6988
632	12017	6967
633	12031	6945
634	12045	6923
635	12060	6902
636	12078	6883
637	12093	6861
638	12109	6841
639	12123	6819
640	12136	6797
641	12149	6775
642	12164	6754
643	12180	6733
644	12194	6711
645	12205	6688
646	12220	6667
647	12235	6646
648	12249	6624
649	12263	6603
650	12277	6582
651	12290	6560
652	12307	6540
653	12323	6519
654	12337	6498
655	12350	6476
656	12364	6455
657	12383	6436
658	12397	6415
659	12410	6393
660	12425	6372
661	12439	6351
662	12440	6323
663	12454	6302
664	12468	6280
665	12483	6260
666	12496	6239
667	12512	6218
668	12526	6197
669	12541	6177
670	12555	6155
671	12567	6134
672	12585	6114
673	12600	6094
674	12614	6073
675	12630	6053
676	12645	6033
677	12658	6011
678	12672	5990
679	12687	5970
680	12704	5951
681	12718	5930
682	12733	5910
683	12747	5889
684	12761	5868
685	12775	5847
686	12790	5827
687	12808	5808
688	12823	5788
689	12837	5767
690	12850	5746
691	12863	5725
692	12876	5704
693	12897	5686
694	12916	5668
695	12934	5649
696	12954	5631
697	12968	5611
698	12991	5594
699	13015	5578
700	13032	5558
701	13052	5540
702	13067	5520
703	13086	5502
704	13102	5482
705	13120	5463
706	13123	5438
707	13138	5418
708	13154	5399
709	13170	5379
710	13186	5360
711	13203	5340
712	13220	5321
713	13234	5301
714	13249	5281
715	13266	5262
716	13281	5242
717	13300	5223
718	13323	5206
719	13338	5187
720	13355	5167
721	13370	5148
722	13386	5128
723	13389	5104
724	13403	5084
725	13418	5064
726	13434	5044
727	13450	5025
728	13468	5006
729	13483	4987
730	13496	4966
731	13512	4947
732	13528	4927
733	13545	4908
734	13560	4889
735	13576	4869
736	13591	4850
737	13606	4830
738	13623	4811
739	13639	4792
740	13654	4772
741	13669	4752
742	13687	4734
743	13702	4714
744	13717	4695
745	13731	4675
746	13745	4655
747	13759	4635
748	13773	4615
749	13787	4595
750	13802	4576
751	13818	4557
752	13830	4536
753	13844	4517
754	13859	4497
755	13876	4478
756	13893	4459
757	13907	4440
758	13921	4420
759	13934	4400
760	13950	4381
761	13964	4361
762	13979	4342
763	13995	4323
764	14010	4303
765	14027	4285
766	14044	4266
767	14063	4248
768	14077	4228
769	14092	4209
770	14107	4190
771	14122	4170
772	14135	4150
773	14148	4131
774	14161	4111
775	14176	4092
776	14195	4074
777	14210	4054
778	14226	4035
779	14239	4016
780	14255	3997
781	14271	3978
782	14286	3959
783	14302	3940
784	14319	3921
785	14335	3903
786	14350	3884
787	14364	3864
788	14378	3845
789	14393	3825
790	14407	3806
791	14424	3788
792	14438	3768
793	14452	3749
794	14467	3730
795	14481	3711
796	14495	3692
797	14512	3673
798	14533	3656
799	14556	3639
800	14583	3623
801	14613	3607
802	14637	3591
803	14659	3573
804	14681	3556
805	14712	3541
806	14735	3524
807	14761	3507
808	14786	3491
809	14813	3474
810	14848	3460
811	14864	3441
812	14920	3431
813	14942	3414
814	14960	3395
815	14972	3376
816	14986	3356
817	15001	3337
818	15017	3318
819	15034	3300
820	15049	3281
821	15063	3261
