iter	Passed	Remaining
0	7	3652
1	9	2249
2	11	192933	13	1734	4	14	1475	12	1060
6	6	18	1277	7	19	128	18	21	1188
9	23	10	2010	2411	21	11	212	23	812	28	1079
1314	26	86214	33	1078
15	35	1083116	37	1061817	39	1019	18	42	1065
19	43	1044
20	45	1032
21	46	1016
22	47	995
23	49	975
24	26	46	825	27	47	826	28	49	827	54	923
28	56	913
29	57	902
30	58	890
31	60	880
32	61	872
33	63	864
34	64	855
35	66	851
36	67	847
37	70	861
38	72	853
39	74	855
40	77	865
41	78	856
42	79	841
43	80	836
44	82	829
45	83	824
46	85	822
47	86	817
48	88	815
49	91	820
50	92	812
51	94	817
52	96	812
53	97	807
54	100	815
55	101	808
56	103	807
57	105	802
58	107	803
59	108	797
60	112	809
61	116	819
62	121	842
63	123	838
64	125	842
65	129	852
66	130	845
67	132	842
68	135	846
69	137	847270	138	837371	141	839
72	142	837573	144	837674	146	827775	148	8278	146	781
79	149	782
8078	155	828179	157	828280	160	828
81	161	823
82	162	8185	159	768
86	161	766
87	164	769
88	166	767
89	168	765
90	169	762
91	171	759
92	173	759
93	175	756
9492	181	799593	183	799694	185	7997	183	752
9896	189	789997	191	781098	194	787199	196	786
100	198	785
101	200	783
102	202	781
103	205	782
104	206	778
105	208	774
106	210	772
107	212	770
108	213	767
109	215	763
110	218	764
111	219	761
112	222	761
113	225	764
114	228	764
115	229	758
116	231	757
117	232	753
118	236	757
119	239	757
120	240	753
121	242	752
122	246	754
123	247	750
124	249	747
125	250	744
126	252	741
127	254	738
128	255	736
129	257	732
130	259	731
131	261	729
132	262	725
133	264	721
134	265	718
135	267	717
136	270	717
137	272	715
138	274	714
139	277	713
140	279	711
141	280	707
142	282	704
143	284	702
144	286	701
145	289	701
146	291	700
147	294	699
148	296	697
149	298	697
150	302	699
151	305	698
152	308	698
153	309	695
154	311	692
155	312	690
156	314	688
157	316	685
158	318	684
159	320	681
160	321	677
161	323	674
162	324	671
163	326	669
164	327	665
165	329	662
166	330	659
167	333	658
168	334	655
169	337	654
170	338	651
171	340	648
172	341	645
173	344	645
174	345	642
175	347	640
176	349	637
177	351	635
178	353	633
179	355	632
180	357	630
181	359	627
182	360	625
183	363	623
184	364	621
185	366	618
186	368	616
187	370	614
188	372	612
189	374	610
190	376	608
191	377	606
192	380	604
193	382	602
194	384	601
195	385	597
198	383	579
199	385	578
200	386	575
199	392	589
200	394	586
201	397	585
202	399	584
203	400	581
206	399	564
205	406	580
206	408	578
207	4209	406208	4210	408209	4211	409210	4212	411211	418	568
212	420	567
213	423	565
214	425	563
215	426	560
216	427	557
219	4219	424220	4220	426221	4221	427220	4222	429221	437	547
222	439	545
223	4225	435224	444	543
225	446	541
226	448	539
227	450	537
228	452	535
229	454	533
230	455	530
231	457	528
232	460	527
233	461	524
234	463	522
235	466	521
236	468	519
237	470	517
238	472	515
239	473	513
240	475	510
241	476	508
242	478	506
243	480	504
244	483	502
245	484	500
246	486	498
247	488	496
248	489	493
249	491	491
250	493	489
251	494	486
252	496	484
253	497	482
254	499	479
255	501	477
256	503	476
257	506	475
258	508	473
259	511	472
260	513	470
261	515	468
262	517	466
263	519	464
264	522	462
265	523	460
266	526	459
269	523	445
270	525	443
271	527	442
272	529	440
273	533	440
274	537	439
275	540	438
276	542	436
277	544	434
278	546	432
279	548	430
280	549	428
281	552	426
282	554	425
283	556	423
284	558	421
285	559	418
286	561	416
287	565	415
288	566	413
289	568	412
290	572	410
291	574	409
292	576	407
293	579	405
294	581	404
295	583	402
296	585	400
297	588	398
298	590	397
299	592	395
300	594	393
301	597	391
302	599	389
303	600	387
304	603	385
305	605	383
306	618	388
307	620	387
308	623	385
309	624	382
310	626	380
311	629	379
312	635	379
313	638	377
314	641	376
315	646	376
316	651	375
317	655	375
318	658	373
319	660	371
320	662	369
321	665	368
322	668	366
323	670	364
324	674	363
325	676	361
326	681	360
327	689	361
