neighbourhood_cleansed,Commercial,Industrial,Residential,Tourism
Allerton,3,1,21,0
Arden Heights,0,0,2,0
Arrochar,0,0,5,1
Arverne,2,1,31,8
Astoria,42,7,131,14
Bath Beach,1,0,10,1
Battery Park City,19,0,0,1
Bay Ridge,8,0,29,6
Bay Terrace,0,0,2,0
Baychester,0,1,6,0
Bayside,4,0,18,3
Bayswater,0,0,6,0
Bedford-Stuyvesant,130,10,858,122
Belle Harbor,0,0,5,0
Bellerose,0,0,9,1
Belmont,5,0,6,1
Bensonhurst,6,0,12,0
Bergen Beach,0,0,12,2
Boerum Hill,15,0,33,3
Borough Park,0,2,13,2
Breezy Point,0,0,0,4
Briarwood,3,0,19,0
Brighton Beach,2,1,21,3
Bronxdale,0,0,3,1
Brooklyn Heights,6,0,27,4
Brownsville,7,2,34,4
Bull's Head,0,0,6,0
Bushwick,83,14,364,59
Cambria Heights,2,0,18,0
Canarsie,10,2,124,9
Carroll Gardens,7,0,45,4
Castle Hill,0,0,3,1
Castleton Corners,0,0,2,1
Chelsea,192,3,165,26
Chinatown,92,2,2,14
City Island,2,0,3,0
Civic Center,3,0,0,1
Claremont Village,3,0,16,15
Clason Point,1,0,21,3
Clifton,0,0,2,0
Clinton Hill,36,4,75,16
Co-op City,0,0,3,0
Cobble Hill,5,0,14,0
College Point,1,5,21,1
Columbia St,1,0,1,1
Concord,1,0,1,0
Concourse,7,1,6,5
Concourse Village,5,1,12,3
Coney Island,2,1,6,0
Corona,13,0,21,2
Crown Heights,55,18,336,42
Cypress Hills,8,5,82,4
DUMBO,10,4,1,1
Ditmars Steinway,8,3,71,2
Dongan Hills,0,0,1,0
Douglaston,0,0,3,1
Downtown Brooklyn,16,0,4,3
Dyker Heights,0,0,7,0
East Elmhurst,9,3,63,3
East Flatbush,36,3,220,21
East Harlem,76,11,137,57
East Morrisania,0,0,3,0
East New York,11,9,135,18
East Village,174,2,126,62
Eastchester,0,1,7,0
Edenwald,0,0,12,2
Edgemere,0,0,7,1
Elmhurst,11,0,61,6
Eltingville,0,0,1,0
Emerson Hill,0,0,3,1
Far Rockaway,3,0,29,4
Fieldston,1,0,2,2
Financial District,195,2,64,12
Flatbush,21,6,151,9
Flatiron District,21,0,7,3
Flatlands,5,0,46,6
Flushing,48,4,150,25
Fordham,4,0,14,2
Forest Hills,5,0,32,2
Fort Greene,22,0,55,16
Fort Hamilton,5,0,55,4
Fort Wadsworth,0,0,0,1
Fresh Meadows,1,0,14,0
Gerritsen Beach,0,0,1,0
Glendale,2,1,35,2
Gowanus,10,5,43,2
Gramercy,58,4,48,26
Graniteville,0,0,4,1
Grant City,2,1,3,0
Gravesend,6,2,20,1
Great Kills,0,0,3,0
Greenpoint,58,28,121,19
