neighbourhood_cleansed,Commercial,Industrial,Residential,Tourism
Allerton,0.12,0.04,0.84,0.0
Arden Heights,0.0,0.0,1.0,0.0
Arrochar,0.0,0.0,0.8333333333333334,0.16666666666666666
Arverne,0.047619047619047616,0.023809523809523808,0.7380952380952381,0.19047619047619047
Astoria,0.21649484536082475,0.03608247422680412,0.6752577319587629,0.07216494845360824
Bath Beach,0.08333333333333333,0.0,0.8333333333333334,0.08333333333333333
Battery Park City,0.95,0.0,0.0,0.05
Bay Ridge,0.18604651162790697,0.0,0.6744186046511628,0.13953488372093023
Bay Terrace,0.0,0.0,1.0,0.0
Baychester,0.0,0.14285714285714285,0.8571428571428571,0.0
Bayside,0.16,0.0,0.72,0.12
Bayswater,0.0,0.0,1.0,0.0
Bedford-Stuyvesant,0.11607142857142858,0.008928571428571428,0.7660714285714286,0.10892857142857143
Belle Harbor,0.0,0.0,1.0,0.0
Bellerose,0.0,0.0,0.9,0.1
Belmont,0.4166666666666667,0.0,0.5,0.08333333333333333
Bensonhurst,0.3333333333333333,0.0,0.6666666666666666,0.0
Bergen Beach,0.0,0.0,0.8571428571428571,0.14285714285714285
Boerum Hill,0.29411764705882354,0.0,0.6470588235294118,0.058823529411764705
Borough Park,0.0,0.11764705882352941,0.7647058823529411,0.11764705882352941
Breezy Point,0.0,0.0,0.0,1.0
Briarwood,0.13636363636363635,0.0,0.8636363636363636,0.0
Brighton Beach,0.07407407407407407,0.037037037037037035,0.7777777777777778,0.1111111111111111
Bronxdale,0.0,0.0,0.75,0.25
Brooklyn Heights,0.16216216216216217,0.0,0.7297297297297297,0.10810810810810811
Brownsville,0.14893617021276595,0.0425531914893617,0.723404255319149,0.0851063829787234
Bull's Head,0.0,0.0,1.0,0.0
Bushwick,0.1596153846153846,0.026923076923076925,0.7,0.11346153846153846
Cambria Heights,0.1,0.0,0.9,0.0
Canarsie,0.06896551724137931,0.013793103448275862,0.8551724137931035,0.06206896551724138
Carroll Gardens,0.125,0.0,0.8035714285714286,0.07142857142857142
Castle Hill,0.0,0.0,0.75,0.25
Castleton Corners,0.0,0.0,0.6666666666666666,0.3333333333333333
Chelsea,0.49740932642487046,0.007772020725388601,0.4274611398963731,0.06735751295336788
Chinatown,0.8363636363636363,0.01818181818181818,0.01818181818181818,0.12727272727272726
City Island,0.4,0.0,0.6,0.0
Civic Center,0.75,0.0,0.0,0.25
Claremont Village,0.08823529411764706,0.0,0.47058823529411764,0.4411764705882353
Clason Point,0.04,0.0,0.84,0.12
Clifton,0.0,0.0,1.0,0.0
Clinton Hill,0.2748091603053435,0.030534351145038167,0.5725190839694656,0.12213740458015267
Co-op City,0.0,0.0,1.0,0.0
Cobble Hill,0.2631578947368421,0.0,0.7368421052631579,0.0
College Point,0.03571428571428571,0.17857142857142858,0.75,0.03571428571428571
Columbia St,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
Concord,0.5,0.0,0.5,0.0
Concourse,0.3684210526315789,0.05263157894736842,0.3157894736842105,0.2631578947368421
Concourse Village,0.23809523809523808,0.047619047619047616,0.5714285714285714,0.14285714285714285
Coney Island,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0
Corona,0.3611111111111111,0.0,0.5833333333333334,0.05555555555555555
Crown Heights,0.12195121951219512,0.03991130820399113,0.7450110864745011,0.09312638580931264
Cypress Hills,0.08080808080808081,0.050505050505050504,0.8282828282828283,0.04040404040404041
DUMBO,0.625,0.25,0.0625,0.0625
Ditmars Steinway,0.09523809523809523,0.03571428571428571,0.8452380952380952,0.023809523809523808
Dongan Hills,0.0,0.0,1.0,0.0
Douglaston,0.0,0.0,0.75,0.25
Downtown Brooklyn,0.6956521739130435,0.0,0.17391304347826086,0.13043478260869565
Dyker Heights,0.0,0.0,1.0,0.0
East Elmhurst,0.11538461538461539,0.038461538461538464,0.8076923076923077,0.038461538461538464
East Flatbush,0.12857142857142856,0.010714285714285714,0.7857142857142857,0.075
East Harlem,0.2704626334519573,0.03914590747330961,0.4875444839857651,0.20284697508896798
East Morrisania,0.0,0.0,1.0,0.0
East New York,0.06358381502890173,0.05202312138728324,0.7803468208092486,0.10404624277456648
East Village,0.47802197802197804,0.005494505494505495,0.34615384615384615,0.17032967032967034
Eastchester,0.0,0.125,0.875,0.0
Edenwald,0.0,0.0,0.8571428571428571,0.14285714285714285
Edgemere,0.0,0.0,0.875,0.125
Elmhurst,0.14102564102564102,0.0,0.782051282051282,0.07692307692307693
Eltingville,0.0,0.0,1.0,0.0
Emerson Hill,0.0,0.0,0.75,0.25
Far Rockaway,0.08333333333333333,0.0,0.8055555555555556,0.1111111111111111
Fieldston,0.2,0.0,0.4,0.4
Financial District,0.7142857142857143,0.007326007326007326,0.23443223443223443,0.04395604395604396
Flatbush,0.11229946524064172,0.03208556149732621,0.8074866310160428,0.0481283422459893
Flatiron District,0.6774193548387096,0.0,0.22580645161290322,0.0967741935483871
Flatlands,0.08771929824561403,0.0,0.8070175438596491,0.10526315789473684
Flushing,0.21145374449339208,0.01762114537444934,0.6607929515418502,0.11013215859030837
Fordham,0.2,0.0,0.7,0.1
Forest Hills,0.1282051282051282,0.0,0.8205128205128205,0.05128205128205128
Fort Greene,0.23655913978494625,0.0,0.5913978494623656,0.17204301075268819
Fort Hamilton,0.078125,0.0,0.859375,0.0625
Fort Wadsworth,0.0,0.0,0.0,1.0
Fresh Meadows,0.06666666666666667,0.0,0.9333333333333333,0.0
Gerritsen Beach,0.0,0.0,1.0,0.0
Glendale,0.05,0.025,0.875,0.05
Gowanus,0.16666666666666666,0.08333333333333333,0.7166666666666667,0.03333333333333333
Gramercy,0.4264705882352941,0.029411764705882353,0.35294117647058826,0.19117647058823528
Graniteville,0.0,0.0,0.8,0.2
Grant City,0.3333333333333333,0.16666666666666666,0.5,0.0
Gravesend,0.20689655172413793,0.06896551724137931,0.6896551724137931,0.034482758620689655
Great Kills,0.0,0.0,1.0,0.0
Greenpoint,0.25663716814159293,0.12389380530973451,0.5353982300884956,0.084070796460177
Greenwich Village,0.4339622641509434,0.0,0.2641509433962264,0.3018867924528302
Grymes Hill,0.0,0.0,0.6666666666666666,0.3333333333333333
Harlem,0.21267605633802816,0.011267605633802818,0.6126760563380281,0.16338028169014085
Hell's Kitchen,0.5413929040735874,0.04993429697766097,0.3442838370565046,0.06438896189224705
Highbridge,0.3333333333333333,0.0,0.5833333333333334,0.08333333333333333
Hollis,0.0,0.0,0.9090909090909091,0.09090909090909091
Holliswood,0.0,0.0,1.0,0.0
Howard Beach,0.22727272727272727,0.0,0.7727272727272727,0.0
Huguenot,0.0,0.0,0.5,0.5
Hunts Point,0.125,0.125,0.5625,0.1875
Inwood,0.3050847457627119,0.03389830508474576,0.3728813559322034,0.288135593220339
Jackson Heights,0.07407407407407407,0.0,0.8765432098765432,0.04938271604938271
Jamaica,0.047619047619047616,0.041666666666666664,0.8333333333333334,0.07738095238095238
Jamaica Estates,0.2,0.0,0.5,0.3
Jamaica Hills,0.09090909090909091,0.0,0.7272727272727273,0.18181818181818182
Kensington,0.03225806451612903,0.0,0.9032258064516129,0.06451612903225806
Kew Gardens,0.05555555555555555,0.0,0.8888888888888888,0.05555555555555555
Kew Gardens Hills,0.0,0.0,1.0,0.0
Kingsbridge,0.07692307692307693,0.038461538461538464,0.6923076923076923,0.19230769230769232
Kips Bay,0.5616438356164384,0.0136986301369863,0.3242009132420091,0.1004566210045662
Laurelton,0.0,0.0,1.0,0.0
Lighthouse Hill,0.0,0.0,0.5,0.5
Little Italy,0.9846153846153847,0.0,0.0,0.015384615384615385
Little Neck,0.6666666666666666,0.0,0.3333333333333333,0.0
Long Island City,0.2682926829268293,0.23780487804878048,0.4146341463414634,0.07926829268292683
Longwood,0.24,0.0,0.48,0.28
Lower East Side,0.6203703703703703,0.032407407407407406,0.22685185185185186,0.12037037037037036
Manhattan Beach,0.0,0.0,1.0,0.0
Marble Hill,0.6,0.0,0.4,0.0
Mariners Harbor,0.0,0.07142857142857142,0.9285714285714286,0.0
Maspeth,0.044444444444444446,0.15555555555555556,0.7333333333333333,0.06666666666666667
Melrose,0.2,0.0,0.8,0.0
Middle Village,0.1,0.0,0.8,0.1
Midland Beach,0.0,0.0,0.8333333333333334,0.16666666666666666
Midtown,0.8692449355432781,0.0055248618784530384,0.11141804788213629,0.013812154696132596
Midwood,0.2,0.04,0.72,0.04
Mill Basin,0.25,0.0,0.75,0.0
Morningside Heights,0.19444444444444445,0.0,0.2777777777777778,0.5277777777777778
Morris Heights,0.16666666666666666,0.0,0.8333333333333334,0.0
Morris Park,0.0,0.0,0.875,0.125
Morrisania,0.0,0.0,1.0,0.0
Mott Haven,0.21212121212121213,0.06060606060606061,0.5757575757575758,0.15151515151515152
Mount Eden,0.0,0.0,1.0,0.0
Mount Hope,0.15,0.05,0.55,0.25
