neighbourhood_group_cleansed,neighbourhood_cleansed,count
Bronx,Allerton,35
Bronx,Baychester,11
Bronx,Belmont,22
Bronx,Bronxdale,11
Bronx,Castle Hill,8
Bronx,City Island,12
Bronx,Claremont Village,48
Bronx,Clason Point,33
Bronx,Co-op City,6
Bronx,Concourse,31
Bronx,Concourse Village,26
Bronx,Country Club,2
Bronx,East Morrisania,4
Bronx,Eastchester,10
Bronx,Edenwald,23
Bronx,Fieldston,8
Bronx,Fordham,30
Bronx,Highbridge,16
Bronx,Hunts Point,16
Bronx,Kingsbridge,36
Bronx,Longwood,30
Bronx,Melrose,17
Bronx,Morris Heights,11
Bronx,Morris Park,34
Bronx,Morrisania,8
Bronx,Mott Haven,46
Bronx,Mount Eden,5
Bronx,Mount Hope,28
Bronx,North Riverdale,6
Bronx,Norwood,25
Bronx,Olinville,3
Bronx,Parkchester,15
Bronx,Pelham Bay,9
Bronx,Pelham Gardens,27
Bronx,Port Morris,42
Bronx,Riverdale,3
Bronx,Schuylerville,15
Bronx,Soundview,11
Bronx,Spuyten Duyvil,5
Bronx,Throgs Neck,31
Bronx,Tremont,10
Bronx,Unionport,13
Bronx,University Heights,5
Bronx,Van Nest,10
Bronx,Wakefield,59
Bronx,West Farms,4
Bronx,Westchester Square,8
Bronx,Williamsbridge,38
Bronx,Woodlawn,6
Brooklyn,Bath Beach,18
Brooklyn,Bay Ridge,64
Brooklyn,Bedford-Stuyvesant,1545
Brooklyn,Bensonhurst,26
Brooklyn,Bergen Beach,15
Brooklyn,Boerum Hill,66
Brooklyn,Borough Park,28
Brooklyn,Brighton Beach,42
Brooklyn,Brooklyn Heights,47
Brooklyn,Brownsville,62
Brooklyn,Bushwick,758
Brooklyn,Canarsie,188
Brooklyn,Carroll Gardens,76
Brooklyn,Clinton Hill,178
Brooklyn,Cobble Hill,27
Brooklyn,Columbia St,5
Brooklyn,Coney Island,19
Brooklyn,Crown Heights,648
Brooklyn,Cypress Hills,137
Brooklyn,DUMBO,18
Brooklyn,Downtown Brooklyn,40
Brooklyn,Dyker Heights,9
Brooklyn,East Flatbush,397
Brooklyn,East New York,254
Brooklyn,Flatbush,263
Brooklyn,Flatlands,77
Brooklyn,Fort Greene,139
Brooklyn,Fort Hamilton,66
Brooklyn,Gerritsen Beach,2
Brooklyn,Gowanus,84
Brooklyn,Gravesend,41
Brooklyn,Greenpoint,297
Brooklyn,Kensington,48
Brooklyn,Manhattan Beach,5
Brooklyn,Midwood,40
Brooklyn,Mill Basin,14
Brooklyn,Navy Yard,3
Brooklyn,Park Slope,161
Brooklyn,Prospect Heights,88
Brooklyn,Prospect-Lefferts Gardens,159
Brooklyn,Red Hook,27
Brooklyn,Sea Gate,16
Brooklyn,Sheepshead Bay,86
Brooklyn,South Slope,88
Brooklyn,Sunset Park,158
Brooklyn,Vinegar Hill,18
Brooklyn,Williamsburg,853
Brooklyn,Windsor Terrace,55
Manhattan,Battery Park City,36
Manhattan,Chelsea,520
Manhattan,Chinatown,185
Manhattan,Civic Center,8
Manhattan,East Harlem,424
Manhattan,East Village,488
Manhattan,Financial District,340
Manhattan,Flatiron District,46
Manhattan,Gramercy,167
Manhattan,Greenwich Village,76
Manhattan,Harlem,1031
Manhattan,Hell's Kitchen,1036
Manhattan,Inwood,88
Manhattan,Kips Bay,264
Manhattan,Little Italy,75
Manhattan,Lower East Side,342
Manhattan,Marble Hill,5
Manhattan,Midtown,1461
Manhattan,Morningside Heights,63
Manhattan,Murray Hill,329
Manhattan,NoHo,18
Manhattan,Nolita,104
Manhattan,Roosevelt Island,24
Manhattan,SoHo,162
Manhattan,Stuyvesant Town,30
Manhattan,Theater District,279
Manhattan,Tribeca,108
Manhattan,Two Bridges,14
Manhattan,Upper East Side,1042
Manhattan,Upper West Side,929
Manhattan,Washington Heights,289
Manhattan,West Village,222
Queens,Arverne,69
Queens,Astoria,290
Queens,Bay Terrace,3
Queens,Bayside,33
Queens,Bayswater,6
Queens,Belle Harbor,7
Queens,Bellerose,14
Queens,Breezy Point,4
Queens,Briarwood,30
Queens,Cambria Heights,32
Queens,College Point,37
Queens,Corona,50
Queens,Ditmars Steinway,114
Queens,Douglaston,5
Queens,East Elmhurst,131
Queens,Edgemere,13
Queens,Elmhurst,123
Queens,Far Rockaway,48
Queens,Flushing,297
Queens,Forest Hills,62
Queens,Fresh Meadows,26
Queens,Glendale,53
Queens,Hollis,12
Queens,Holliswood,2
Queens,Howard Beach,28
Queens,Jackson Heights,107
Queens,Jamaica,219
Queens,Jamaica Estates,15
Queens,Jamaica Hills,16
Queens,Kew Gardens,23
